Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
COOLINARRIG LOWER,35,31,8,,28,26,7,,27,27,7,,9,17,4,,,,,,16,20,6,1
COOLINARRIG UPPER,30,26,6,,21,11,4,,12,9,3,,18,14,7,,,,,,10,8,4,
DEERPARK (ED Baltinglass),80,75,22,1,51,60,21,,34,34,15,,26,33,15,,,,,,19,29,9,
HOLDENSTOWN LOWER,122,117,42,,39,40,15,1,30,32,14,,23,25,13,1,,,,,13,17,10,
HOLDENSTOWN UPPER,67,53,17,,49,64,23,1,27,24,8,,28,23,8,,,,,,10,13,7,1
IRONGRANGE LOWER,20,20,7,,10,11,3,,15,9,3,,9,8,6,,,,,,2,1,1,1
IRONGRANGE UPPER,31,22,9,,25,19,6,,17,11,4,,16,13,4,,,,,,5,3,2,1
KILMURRY,39,31,13,1,20,25,11,,20,13,6,,18,12,7,,,,,,13,21,6,
KILMURRY LOWER,83,73,23,,44,44,13,1,27,31,10,,22,61,10,,,,,,20,18,8,1
KILMURRY UPPER,21,19,5,,19,24,6,,24,28,6,,19,24,8,,,,,,16,13,7,
LATHALEERE,39,51,18,1,16,23,7,,13,21,11,,8,16,7,,,,,,10,7,3,2
NEWTOWNSAUNDERS,34,38,9,,40,37,10,,43,36,9,,124,160,10,,,,,,103,101,8,
PINNACLE,12,11,5,,2,,1,,,,,,,,,,,,,,,,,
RATHMOON,26,32,10,,20,19,9,,8,8,4,,8,6,3,,,,,,11,12,4,
SLANEY PARK,18,18,6,,10,6,4,,4,4,2,,7,15,5,,,,,,7,10,6,
SRUHAUN,56,63,18,,32,33,16,1,7,12,4,,7,16,5,,,,,,14,6,3,
STRATFORD LODGE,42,54,18,1,39,49,15,,9,9,2,2,11,15,6,9,18,27,8,,21,20,8,
WOODFIELD,88,106,30,,50,48,18,1,48,40,19,1,58,57,23,,45,39,20,,48,39,19,
WOODFIELDGLEN,40,41,13,,25,28,9,,30,30,9,,24,25,9,,27,27,9,,25,29,9,
,1208,1212,400,5,719,751,267,7,524,515,193,7,544,586,201,10,561,617,187,4,473,474,165,12
BALTINGLASS T,939,989,282,20,768,804,226,8,658,646,207,14,628,613,213,9,563,588,212,7,526,531,209,4
DO WORKHOUSE,,,,,437,579,1,,113,147,1,,,,,,,,,,,,,
DO FEVER HOSPITAL,,,,,8,4,1,,,,,,,,,,,,,,,,,
DO INFIRMARY,,,,,,,,,1,3,1,,,,,,,,,,,,,
DO BRIDEWELL,,,,,16,19,1,,2,,1,,,,,,,,,,,,,
TOTAL,2147,2201,682,25,1948,2157,496,15,1298,1311,403,21,1172,1249,414,19,1124,1205,399,11,999,1005,374,16
BALLINABARNY,38,31,11,,2,5,2,,9,5,3,,7,6,3,,6,8,3,,5,7,1,
BALLINABARNY GAP,3,6,2,,20,21,8,,14,11,5,,14,7,5,,15,11,4,,9,6,3,
BALLINARD,39,51,14,1,22,20,6,,15,16,5,,15,17,5,,9,8,4,,9,9,4,
BALLINCLEA,37,40,12,1,30,38,10,1,31,31,10,,28,29,9,,26,25,8,1,16,17,7,1
BALLINEDDAN LOWER,13,19,7,,20,25,7,,14,16,5,,9,11,4,,7,15,4,,5,12,4,
BALLINEDDAN MOUNTAIN,,,,,9,4,2,,,,,,,,,,,,,,,,,
BALLINEDDAN UPPER,30,34,11,,16,10,3,,16,11,5,,14,10,5,,10,13,4,,7,8,3,
BALLINFOYLE LOWER,26,27,7,1,18,14,5,,,,,,17,7,4,,13,6,3,,13,10,4,
BALLINFOYLE UPPER,,,,,8,4,2,,20,11,6,,,,,,,,,,,,,
BALLINTRUER BEG,8,13,3,,2,4,1,,6,6,3,,11,10,4,,5,7,2,,5,3,2,
BALLINTRUER MORE,18,24,6,,13,17,4,,10,8,4,,6,7,3,,11,11,4,,9,5,4,
BALLYHUBBOCK LOWER,18,18,4,,8,9,2,2,15,16,4,,9,9,3,,10,13,6,,11,4,4,
BALLYHUBBOCK UPPER,35,29,7,,17,16,4,,17,15,6,,22,17,7,,14,9,4,,12,12,3,1
BALLYREASK,19,20,5,,19,12,5,,14,8,4,,20,13,4,,15,14,5,,18,11,5,
BALLYTOOLE LOWER,49,43,12,,15,11,4,,23,23,8,1,20,22,7,1,27,23,8,,27,26,7,1
BALLYTOOLE UPPER,12,10,3,,21,16,5,,,,,,5,1,1,,7,3,1,,,,,1
BALLYVOGHAN,27,30,8,,18,11,4,,22,22,7,,15,10,5,1,13,8,3,1,9,8,3,
BALLYVRAGHAN,27,29,10,1,12,6,3,,14,11,5,,16,18,5,,10,6,2,,13,16,5,
BLACKPITS,,,,,,,,,,,,,,,,,,,,,,,,
BLANE,,,,,,,,,,,,,,,,,,,,,,,,
BRITTAS,50,39,12,2,24,16,6,1,18,15,7,,12,14,5,,16,16,6,,15,9,4,
BRUSSELSTOWN,37,27,7,1,26,22,6,1,17,15,6,,13,12,6,,12,10,5,,14,10,5,
BUSHFIELD,8,8,2,,5,1,2,,8,4,2,,10,9,2,,6,7,2,,8,8,2,
CAMARA,28,23,6,2,21,17,5,,16,15,4,,18,15,5,,19,12,5,,18,10,5,
CAMARAHILL NORTH,5,5,2,,11,9,4,,9,10,3,,9,9,3,,7,7,2,,6,5,2,
CAMARAHILL SOUTH,10,10,3,,,,,,,,,,,,,,2,1,1,,,,,
CANNOW,22,32,9,1,15,16,4,,13,14,4,,12,13,4,,9,13,4,,9,8,3,
CANNOW MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,
CASTLEQUARTER,24,23,9,,17,14,5,,15,11,4,,13,9,5,,11,6,3,,2,2,1,1
CASTLERUDDERY LOWER,33,31,7,1,24,15,4,,21,15,4,,14,18,5,,13,11,3,,6,4,2,1
CASTLERUDDERY UPPER,14,6,5,,10,14,6,,5,5,3,,,,,1,4,6,2,,1,3,2,
CASTLESALLAGH,46,39,13,,23,23,6,,7,15,6,1,15,9,4,,6,7,3,,3,3,2,1
CLONSHANNON,23,19,6,2,17,15,5,,9,10,3,,10,12,3,,9,14,3,,8,8,2,
CLORNAGH,,,,,,,,,,,,,,,,,,,,,,,,
COAN,56,48,13,,27,19,6,,12,13,3,,24,20,7,,19,16,7,,15,17,7,
COLLIGA,50,40,13,,23,22,10,,42,41,16,,29,29,12,,27,19,10,,18,14,9,
COOLAMADDRA,31,32,9,,19,17,7,,26,19,7,1,25,31,10,,30,35,10,,25,26,10,
COOLMONEY,9,8,2,,8,5,2,,1,7,2,,9,5,2,,4,4,1,1,,,,2
CRISSADAUN,,,,,,,,,,,,,,,,,,,,,,,,
DAVIDSTOWN,17,21,6,,13,8,3,1,12,11,4,,8,10,2,,6,7,2,,7,9,2,
DEERPARK (ED Donaghmore),1,5,3,,3,5,2,,1,1,1,,3,2,1,,3,2,1,,2,2,1,
DERRYNAMUCK,15,20,5,,9,8,3,,13,8,4,,11,12,3,,11,11,3,,10,5,2,
DONAGHMORE,59,58,13,2,45,41,13,2,41,29,12,,32,41,13,,25,28,11,2,19,17,9,
DRUMREAGH,16,10,4,,12,7,4,,9,7,3,,4,1,1,,5,4,1,,9,7,2,
EADESTOWN HILL,27,25,12,,12,11,4,2,8,8,4,,7,7,3,,6,6,2,,4,1,1,1
EADESTOWN MIDDLE,61,59,18,,11,11,3,1,18,9,3,,19,17,5,,19,13,5,,10,10,5,
EADESTOWN NORTH,21,21,6,,9,7,3,,14,6,3,,12,6,3,,8,9,4,,7,7,3,
EADESTOWN SOUTH,37,37,14,,40,39,16,1,38,29,14,,39,33,17,,38,35,15,,27,22,10,
FAUNA,20,14,4,,7,4,2,,1,4,2,,1,2,2,,7,13,4,,5,4,2,
GIBSTOWN,29,27,12,1,29,14,7,,28,20,6,,22,19,8,,19,15,5,,20,19,6,
KELSHAMORE,60,52,17,1,53,38,12,1,32,30,11,,23,26,11,1,16,22,9,2,20,18,10,
KILBREFFY,19,19,5,,12,15,3,,10,11,3,,16,10,4,,13,10,4,,13,11,4,
KILLYBEG,27,22,7,,17,16,5,,8,7,2,,5,5,1,,7,5,2,,7,7,2,
KNICKEEN,29,18,5,,10,6,2,,9,6,2,,4,5,2,,3,5,2,,8,5,2,
KNOCKADERRY,81,74,23,,62,44,13,,47,42,12,,46,31,10,,30,25,8,,19,18,6,1
KNOCKANDARRAGH,58,43,14,,53,45,13,,40,22,8,,28,23,9,,19,31,10,2,23,21,10,
KNOCKNAMUNNION,36,29,11,,12,21,6,1,37,29,12,,30,31,10,1,32,25,12,,31,19,9,
KNOCKANARRIGAN,37,29,9,,41,38,8,,9,5,3,,12,8,3,,11,12,4,,8,9,2,
LEITRIM,37,29,8,,19,12,4,1,23,15,5,,24,11,3,,19,15,6,,21,15,8,
LEOH,1,2,1,,19,20,6,,2,3,1,,1,2,1,,,,,,,,,
LEVERN,,,,,,,,,,,,,,,,,,,,,,,,
LOBAWN,,,,,,,,,,,,,,,,,,,,,,,,
LUGNAQUILLIA,,,,,,,,,,,,,,,,,,,,,,,,
MONROE,4,5,1,,4,3,1,,4,4,1,,2,4,1,,1,3,1,,4,1,1,
MOORSPARK,15,7,3,1,7,7,2,,4,9,2,,4,5,2,,4,3,1,,5,3,1,
MOORSTOWN,16,15,5,,6,4,3,1,9,8,3,,4,4,3,,1,1,1,,4,2,2,
NEWPARK,13,13,4,,11,8,4,,12,7,3,,11,6,2,,9,7,4,,9,7,4,
NEWTOWN (ED Talbotstown),16,19,5,,19,19,6,,16,20,5,,18,16,6,,10,7,5,,14,10,5,1
POLLAGHADOO,,,,,,,,,,,,,,,,,,,,,,,,
RAHEEN (ED Baltinglass),37,24,9,,9,11,3,,4,2,1,,5,4,1,,4,7,2,,4,2,1,
RANDALSTOWN,47,44,16,,29,48,16,,29,43,15,,24,27,14,2,14,13,6,1,12,11,6,1
ROSTYDUFF LOWER,38,37,13,,28,31,8,,29,31,9,,25,23,7,,22,17,7,,19,13,7,
ROSTYDUFF UPPER,5,3,1,,7,7,2,,,,,,6,6,2,,2,4,2,,2,5,2,
SESKIN,34,31,9,,27,24,6,,19,17,4,,19,22,6,,19,12,5,1,13,12,8,
SNUGBOROUGH,21,22,7,,15,12,5,,14,11,3,,20,14,5,,14,10,4,,7,10,4,
SPINANS EAST,21,20,5,2,6,12,3,2,7,8,2,,12,11,4,1,10,7,3,2,6,8,3,
SPINANS HILL,9,10,3,,6,6,2,,4,3,2,,3,4,2,,4,4,2,,,,,
SPINANS MIDDLE,19,20,5,,8,5,2,,11,9,4,,11,10,3,,10,10,3,,10,7,3,
SPINANS WEST,7,9,3,,9,13,5,,6,9,4,,8,6,2,,7,3,2,,10,5,2,
STRANAHELY,41,50,12,,31,30,8,1,26,19,6,,24,19,7,,29,18,6,,21,15,5,
SUGARLOAF,,,,,,,,,,,,,,,,,,,,,,,,
TABLE MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,
TINNEHINCH,8,6,1,,4,8,1,,4,9,1,,3,5,1,,4,4,1,,4,2,1,
WHITESTOWN LOWER,70,59,21,,43,32,9,,32,22,7,,29,28,8,,22,21,7,1,24,19,8,
WHITESTOWN UPPER,67,67,27,,26,19,6,,15,21,6,,16,21,6,,13,18,6,,13,17,5,
TOTAL,2021,1889,587,20,1323,1177,379,19,1104,973,348,3,1027,940,344,8,888,826,310,14,765,656,275,13
BALLYLEA,35,34,9,,17,13,6,,18,19,7,,17,15,6,,20,16,5,,19,18,7,1
BYRNESHILL,22,24,8,,18,17,6,,13,12,5,,12,16,5,,13,7,5,,10,8,4,
FREYNESTOWNHILL,15,13,3,,10,9,3,,9,11,3,,8,13,3,,4,8,3,1,7,11,3,
FREYNESTOWN LOWER,21,12,3,,5,2,1,1,6,5,2,,3,3,1,,4,2,1,,13,5,2,
FREYNESTOWN UPPER,14,17,4,,3,6,2,1,11,4,3,,9,4,2,,3,3,2,,3,1,1,1
KNOCKBAWN,12,10,3,,10,6,2,,8,7,2,,7,11,2,,8,10,2,,8,7,2,
MOANVAWN,29,26,8,,26,16,8,,18,16,7,,12,12,5,2,13,9,7,,13,7,5,1
SHEPHERDSHILL,19,19,5,,20,17,5,,9,12,3,,9,11,3,,12,8,3,,16,10,3,
TOOLESTOWN,23,18,8,,19,25,7,,13,16,5,,12,14,7,,14,10,5,,12,12,4,1
TOTAL,155,139,42,,111,98,34,2,87,83,30,,72,84,28,2,71,57,28,1,82,61,24,3
BALLINROAN LOWER,34,37,11,,20,30,8,,10,10,4,2,9,13,5,,15,25,6,,12,21,8,
BALLINROAN UPPER,17,24,6,,10,7,3,,13,10,4,,9,5,3,,4,2,2,,5,4,2,
BARRADERRY EAST,39,33,11,,29,11,5,,16,6,3,,,,,,4,1,1,,5,2,1,
BARRADERRY NORTH,11,10,2,,6,5,2,,8,7,2,,11,9,2,,7,5,2,,4,4,2,
BARRADERRY WEST,137,127,43,,86,61,27,1,88,80,31,,75,75,30,1,73,61,24,1,74,55,20,1
BOLEYCARRIGEEN,40,55,13,,18,20,6,2,18,16,5,1,16,17,5,,18,11,3,1,15,8,3,
BROCKNA,58,51,19,,55,31,14,,41,29,11,,33,24,10,,33,28,9,1,25,28,10,
CLOGHNAGAUNE,24,20,7,,16,9,4,3,6,4,2,,7,5,3,,4,2,3,,5,4,2,
COLVINSTOWN LOWER,35,46,11,,20,23,7,1,19,17,6,,17,22,6,2,15,15,6,,17,13,5,
COLVINSTOWN UPPER,27,38,10,,6,11,4,,8,6,3,,4,5,2,,4,6,2,,6,4,2,
DOWNINGS,18,23,5,,10,14,4,,9,10,8,,9,11,4,,10,13,4,,6,6,3,1
ENGLISHTOWN,50,56,15,1,43,43,13,,26,29,11,1,28,31,10,,17,18,10,,19,17,9,
FORTGRANITE,26,33,7,,15,14,3,,12,13,4,,8,5,5,,12,12,4,1,1,9,2,2
KEADEEN,11,24,8,,3,3,2,,6,1,2,,6,8,2,,6,9,2,,6,12,3,
KILLALISH LOWER,128,107,34,,83,73,22,,52,57,16,,44,53,16,2,38,37,14,,52,43,14,1
KILLALISH UPPER,62,60,20,,42,35,15,2,41,44,17,,31,36,12,2,30,35,13,1,28,26,11,1
KILRANELAGH,29,32,8,1,24,17,5,,26,26,8,1,14,22,6,,21,19,7,,10,16,6,2
NEWTOWN (ED Donaghhmore),65,63,23,,11,6,3,1,8,3,2,,13,6,4,,1,1,1,,4,3,1,
TALBOTSTOWN LOWER,27,22,7,,11,15,4,,26,28,8,,15,17,7,,22,24,7,,9,12,5,1
TALBOTSTOWN UPPER,52,49,15,1,36,36,10,1,16,19,8,2,17,26,7,2,15,24,7,2,17,21,7,
TOTAL,890,910,275,3,544,464,161,11,447,415,150,7,363,392,139,9,349,348,127,7,320,308,114,9
BALLYBRACK BEG,67,55,17,1,20,15,8,1,14,8,5,,23,17,7,,17,13,7,,7,14,6,
BALLYBRACK MORE,32,42,10,,24,28,6,,21,19,6,,18,13,5,,9,14,4,,13,20,5,
BALLYKILMURRY LOWER,17,11,3,1,11,7,3,,10,8,3,,11,4,2,,13,8,3,,6,8,2,1
BALLYKILMURRY UPPER,44,43,12,,23,19,5,,19,12,5,,15,15,6,,15,13,4,,14,16,4,1
BALLYKNOCKAN,24,26,8,,22,24,7,,17,25,7,1,16,20,7,,13,12,6,1,10,10,7,
BALLYMACONEY,89,100,33,,42,47,22,4,49,49,22,,41,45,18,,30,44,17,,40,24,14,1
BAWNOGE (ED Rathdangan),64,66,25,,20,22,9,,20,19,7,,18,16,7,,17,15,6,,12,13,6,
BERNAGH,16,20,6,1,24,27,9,1,29,25,10,,21,17,7,,19,16,6,,14,11,6,
BORKILL BEG,60,60,15,2,41,34,11,1,33,32,10,,26,23,9,1,30,28,9,,34,26,9,1
BORKILL MORE,84,87,25,3,75,57,22,2,59,37,16,,43,37,14,,30,25,11,1,25,23,11,
CARRIG LOWER,23,23,6,,17,13,3,,17,11,4,,7,7,3,,12,7,3,,9,9,3,
CARRIG MOUNTAIN,6,4,1,,,,,,,,,,,,,,,,,,,,,
CARRIG UPPER,12,14,4,,10,6,2,,7,3,1,,5,3,1,,3,3,1,,4,3,1,
CORNAN EAST,41,40,11,,22,25,10,,26,26,10,,23,23,10,1,31,36,11,,29,27,12,
CORNAN WEST,23,31,8,1,21,17,6,,16,14,6,,14,15,6,1,12,12,5,,11,11,6,
CRANAREEN,16,21,7,1,13,11,3,,12,11,3,,16,9,4,,15,9,4,,12,9,4,
CROSSNACOLE,38,34,11,,30,20,10,,19,20,10,,17,20,9,,12,16,8,,21,19,8,
DANESFORT LOWER,20,19,7,,17,13,5,,17,14,6,,18,14,5,,14,12,3,,9,7,3,
DANESFORT UPPER,60,48,23,,20,14,6,1,11,8,5,,10,13,4,,15,12,5,1,15,14,5,
DEERPARK (ED Rathdangan),7,9,2,,4,3,1,,4,3,2,,4,4,2,,5,6,2,,9,8,2,
DRIM,26,36,11,1,30,31,9,,27,29,9,1,23,28,10,,23,23,7,1,12,14,6,1
FIDDAN,34,34,15,,41,39,16,,40,27,12,,21,22,8,,20,22,8,,13,16,8,1
FIDDANCOYLE,41,34,11,,35,27,9,3,30,20,9,,32,30,10,,12,11,3,,6,8,2,
GRAIGUE,56,49,16,3,28,18,9,1,25,18,6,1,30,30,18,,42,44,14,,45,33,13,1
HIGHPARK LOWER,9,14,4,,12,6,5,,12,12,4,,8,5,2,,11,7,4,,4,2,1,2
HIGHPARK UPPER,18,12,5,,13,16,4,,13,24,6,,14,14,7,3,19,18,6,,6,9,4,2
HUMEWOOD,44,36,13,,29,26,11,,20,18,8,,21,16,8,,16,13,6,,16,26,6,1
KELSHA,64,64,21,1,44,40,13,,36,22,9,,25,22,9,,24,28,8,,24,30,8,
KELSHABEG,28,25,10,,25,27,7,,29,19,7,,23,17,8,,16,12,5,,9,10,5,
KILLAMOAT LOWER,32,26,10,1,14,21,4,,20,21,6,,17,18,6,,13,16,4,,21,16,8,
KILLAMOAT UPPER,31,28,11,1,28,28,9,2,22,24,7,,20,22,7,,18,20,8,2,11,14,8,
KILTEGAN,77,75,21,4,28,27,7,,23,22,5,,18,16,5,,12,16,5,,20,22,6,1
KNOCKAVURRIG,17,22,7,,3,6,3,,12,7,3,,3,2,1,1,9,6,2,,4,6,2,
MUCKDUFF LOWER,49,47,16,1,18,16,5,1,22,21,7,1,27,25,6,,26,28,8,,20,24,7,1
MUCKDUFF UPPER,,,,,5,8,3,1,,,,,8,3,2,,,,,,,,,
MULLANACRANNA,103,95,36,,55,54,22,4,52,68,23,1,49,48,20,2,34,36,19,,33,27,16,1
RATHDANGAN,71,68,18,1,71,69,20,2,66,65,22,2,54,53,20,6,66,58,26,,64,52,25,2
RATHDUFFBEG,15,14,4,,10,6,2,,8,5,2,,7,4,1,,5,4,1,,5,6,1,
RATHGORRAGH LOWER,33,45,11,,30,33,12,,36,38,11,,27,25,8,,21,19,8,1,28,17,11,
RATHGORRAGH UPPER,10,7,3,,,,,,,,,,9,6,3,,9,3,2,,,,,
SLIEVEREAGH LOWER,29,29,6,,26,21,6,1,23,10,,1,26,20,3,,16,16,6,,22,20,7,
SLIEVEREAGH UPPER,6,5,3,,4,4,2,,,,,,,,,,3,2,1,,,,,
,1541,1528,486,23,1005,925,326,26,916,822,301,8,859,751,293,15,736,699,267,7,657,620,254,17
KILTEGAN T,,,,,72,76,26,2,93,101,31,3,95,95,33,1,99,91,34,3,75,55,27,3
TOTAL,1541,1528,486,23,1077,1001,352,28,1009,923,332,11,954,846,321,16,835,790,301,10,732,675,281,20
BALLINACROW LOWER,33,39,10,1,22,17,6,,22,20,6,,23,22,8,,16,7,5,,14,11,6,
BALLINACROW UPPER,47,48,15,,28,25,9,,26,22,8,,25,24,8,,25,21,8,,15,19,8,
BALLYHOOK,18,15,6,,7,7,3,,,,,,4,4,2,,,,,,,,,
BALLYHOOK DEMESNE,3,5,1,,2,2,1,,7,3,2,,3,3,1,,3,,1,,4,2,2,
BALLYHOOK HILL,21,21,7,,14,14,6,2,10,8,4,,6,2,2,1,10,3,3,,7,4,3,
BALLYNATONE,15,20,4,1,11,8,2,,,3,1,,5,2,1,,9,4,1,,,,,
GIBRALTAR,18,16,7,,26,17,8,,15,14,6,,7,7,4,,9,10,4,,6,6,3,
GOLDENFORT,38,32,8,,32,25,8,1,24,16,6,,25,33,11,,17,17,11,,22,18,11,
KILL,38,30,8,,17,14,6,,23,18,7,,21,15,7,,19,15,7,,10,10,7,
MANGER,52,46,20,,28,28,13,1,60,54,20,,33,29,12,,22,24,10,1,22,26,9,1
MATTYMOUNT,1,6,1,,6,3,1,,5,3,1,,,,,1,2,1,1,,3,,1,
RAHEEN (ED Donaghmore),59,47,17,6,58,41,19,3,47,43,18,,30,35,13,2,22,17,9,,17,13,7,2
RAMPERE,37,35,11,,39,26,10,,21,14,8,,25,23,7,2,16,20,7,,18,12,7,1
RATHBRAN,90,76,26,1,53,43,16,2,50,34,16,1,41,39,14,1,34,44,13,,42,30,12,1
SAUNDERSGROVE,20,21,5,1,12,12,3,,4,11,4,,15,21,7,,20,22,6,1,17,11,5,
SAUNDERSGROVE HILL,20,14,5,,16,14,4,,8,10,3,,6,6,2,,3,4,2,,8,6,3,
SCURLOGUE,5,3,2,,8,2,2,1,2,2,1,,11,6,2,,3,2,1,2,2,2,1,1
STRATFORD,57,60,18,2,31,30,11,1,13,16,4,,18,20,5,4,17,20,6,2,14,23,6,1
TUCKMILL HILL,44,40,14,,21,18,9,,19,17,8,,15,17,8,,12,15,6,,11,11,7,
TUCKMILL LOWER,67,59,18,1,40,32,12,,30,27,10,,37,38,15,,40,38,12,,34,26,11,1
TUCKMILL UPPER,47,60,15,1,36,24,10,,27,23,9,1,14,5,4,,16,11,6,,13,9,6,
WINETAVERN,84,96,27,,38,31,10,1,24,20,8,,21,18,6,1,17,16,8,,14,13,5,
,814,789,245,14,545,433,169,12,437,378,150,2,387,367,137,12,332,311,127,6,293,252,120,8
STRATFORD T,238,380,90,14,116,115,45,21,147,193,45,2,131,147,52,5,128,141,48,6,120,108,43,6
BALTYNATONE FEVER HOSPITAL,,,,,4,2,1,,2,3,1,,,,,,,,,,,,,
TOTAL,1052,1169,335,28,665,550,215,33,586,574,196,4,518,514,189,17,460,452,175,12,413,360,163,14
BALLYHURTIM,5,4,2,,2,3,1,,4,2,1,,2,3,1,,1,6,1,,2,2,1,
BALLYLAFFIN,18,23,3,,10,12,2,,9,9,2,,7,5,2,,10,10,2,,11,6,3,
COONANSTOWN,13,11,2,,5,4,1,,3,1,1,,3,1,1,,6,7,1,,5,3,1,
CROSSOGE,16,11,5,,21,22,4,,17,18,4,,11,10,4,,11,9,4,,7,3,3,
MULLANS,12,13,6,,10,11,6,,5,10,5,,5,10,4,1,6,4,1,2,5,5,3,
OLDCOURT,4,8,1,,4,2,1,,4,3,1,,4,3,1,,2,5,1,,1,,1,
RATHSALLAGH,14,15,3,,14,14,3,,11,19,3,,13,15,3,,7,11,3,,7,7,3,
RATHSALLAGH DEMESNE,6,12,3,1,8,10,4,,8,8,3,,11,11,4,,18,14,5,,17,14,4,
ROTTENHILL,24,17,4,,1,1,1,,3,5,1,,5,9,2,,7,9,3,,10,7,3,
TOTAL,112,114,29,1,75,79,23,,64,75,21,,61,67,22,1,68,75,21,2,65,47,22,
BALLYCORE,42,32,11,,24,16,7,2,16,10,5,,15,10,6,1,13,9,5,1,10,6,4,1
RATHTOOLE,45,51,16,,28,36,13,,34,25,11,,22,17,7,,11,13,5,2,12,18,5,
,87,83,27,,52,52,20,2,50,35,16,,37,27,13,1,24,22,10,3,22,24,9,1
,,,,,,,,,,,,,,,,,,,,,3738,3447,1402,82
,,,,,,,,,,,,,39493,39201,14111,625,35101,35255,13038,907,31054,31082,12203,1140
